Timestep,Volt,Rotate,Pressure,Vibration,State
0,0.379151092,0.556385187,0.243079506,0.229504293,0
1,0.415506993,0.698561103,0.242410288,0.273824561,1
2,0.33934205,0.637644818,0.230266358,0.191588098,2
3,0.343817356,0.627731997,0.233904513,0.264566349,2
4,0.310361557,0.607368113,0.194295643,0.240200195,2
5,0.336327636,0.531479142,0.215693485,0.215780325,2
6,0.397831149,0.57521239,0.190585546,0.230599092,2
7,0.385974096,0.630933953,0.208516333,0.247693397,2
8,0.376943194,0.396047283,0.215659658,0.256992779,3
9,0.56498231,0.648197926,0.516587151,0.256162471,4
10,0.351867147,0.647795783,0.257161825,0.276671218,0
11,0.353867353,0.615858294,0.197009134,0.269388231,0
12,0.384169823,0.622861995,0.199791766,0.305659257,0
13,0.353154082,0.597895409,0.2172971,0.265631153,1
14,0.382126061,0.655505276,0.231748822,0.258702261,2
15,0.374770865,0.676145451,0.243662648,0.259956326,2
16,0.406003625,0.626204276,0.246397078,0.26882794,2
17,0.351261256,0.265259177,0.168831064,0.441434541,3
18,0.322982599,0.603959875,0.226463224,0.256653032,3
19,0.409386722,0.400545605,0.199863571,0.261714774,3
20,0.385646659,0.625392209,0.18454344,0.249927245,3
21,0.437749452,0.435732156,0.213406024,0.180545156,3
22,0.459007144,0.385935666,0.22275663,0.600846418,5
23,0.388405276,0.678947064,0.226337836,0.288654891,0
24,0.387279049,0.646540982,0.182370481,0.207827944,0
25,0.416069802,0.613165445,0.213274799,0.284289954,1
26,0.58062844,0.553338572,0.309598621,0.185036291,2
27,0.357121524,0.591126075,0.207697257,0.244403453,2
28,0.355790727,0.647687116,0.246419739,0.243032085,3
29,0.331294261,0.650981404,0.199384863,0.245783412,3
30,0.384523547,0.594828222,0.223511179,0.276807273,3
31,0.416247211,0.619166817,0.547382742,0.252108659,3
32,0.623610238,0.619661019,0.220869353,0.256424339,5
33,0.389253894,0.6086097,0.244538924,0.29967324,0
34,0.332932066,0.621527391,0.271326544,0.288422339,0
35,0.378764699,0.592553731,0.223506288,0.181945705,1
36,0.360874312,0.625103467,0.204610823,0.279699332,1
37,0.321308944,0.607121777,0.205794083,0.268152934,1
38,0.357302435,0.599316511,0.18838093,0.244061978,1
39,0.346303413,0.621542781,0.23661537,0.349581488,1
40,0.351865107,0.653571675,0.20253034,0.266436412,1
41,0.356384375,0.641411634,0.254716139,0.274820709,2
42,0.393861527,0.699171808,0.158689709,0.19902911,3
43,0.356548588,0.599738465,0.191082169,0.245520114,3
44,0.547495754,0.64304771,0.217982723,0.276092525,4
45,0.341194401,0.673057828,0.226326788,0.203182184,0
46,0.365080057,0.634201727,0.202747164,0.28647734,1
47,0.38479992,0.633115556,0.237872744,0.257304792,2
48,0.356241601,0.626900722,0.221050684,0.195662108,2
49,0.371711784,0.65205107,0.174948342,0.230243808,3
50,0.613561015,0.571404814,0.206439955,0.226820867,4
51,0.357259789,0.608103641,0.376225591,0.27100397,0
52,0.40202316,0.59655094,0.213013156,0.254175411,0
53,0.35338826,0.611292182,0.236987141,0.221869723,0
54,0.342939738,0.659877171,0.179650931,0.284476615,0
55,0.334745166,0.619000903,0.311697214,0.241660022,0
56,0.328114116,0.693937789,0.20131193,0.236515414,1
57,0.327271448,0.617827062,0.351133657,0.274161048,1
58,0.355051856,0.740587287,0.202785651,0.31159799,1
59,0.392228967,0.583096259,0.213285996,0.263614095,1
60,0.331053036,0.646344103,0.2062415,0.201632135,2
61,0.359920546,0.649877519,0.210721451,0.266359735,2
62,0.359023731,0.609640145,0.263500006,0.212364579,2
63,0.584598518,0.623113746,0.201619372,0.258539931,3
64,0.355144296,0.618558911,0.19234758,0.262444429,3
65,0.394911795,0.666686957,0.252466644,0.240839276,3
66,0.294520021,0.551363745,0.226205054,0.240542149,3
67,0.357810825,0.385978032,0.213755043,0.258306162,3
68,0.329705703,0.619340417,0.24029546,0.2148525,3
69,0.347638235,0.380196294,0.223726193,0.244465261,4
70,0.411718187,0.678229208,0.179326192,0.211757142,0
71,0.369774224,0.67413472,0.209214338,0.283010505,0
72,0.34912792,0.651001158,0.226504806,0.223193834,0
73,0.330840556,0.667271953,0.194291413,0.28594576,1
74,0.457928153,0.568974928,0.519792312,0.51332676,5
75,0.303025256,0.648497509,0.192702362,0.577019597,0
76,0.374817638,0.622435776,0.215357075,0.235823967,1
77,0.334360923,0.576496007,0.212582005,0.273107643,2
78,0.350155953,0.602775077,0.221998092,0.247808094,2
79,0.335136107,0.661011193,0.185587437,0.247175974,2
80,0.367823045,0.624805555,0.168944592,0.208978519,3
81,0.396876612,0.630151242,0.224659445,0.229352609,3
82,0.358488263,0.669681469,0.200888172,0.23016301,3
83,0.346350813,0.359094591,0.2090028,0.237927175,4
84,0.341609085,0.708609709,0.229809141,0.272304015,0
85,0.374060127,0.59440791,0.223705993,0.21080967,0
86,0.280617445,0.64283085,0.217059028,0.241300034,0
87,0.382192031,0.421981861,0.221207687,0.214962717,5
88,0.318317376,0.668707766,0.368892612,0.269465234,0
89,0.397866834,0.65033593,0.191462592,0.283756503,1
90,0.331296808,0.44126807,0.217121405,0.219926259,2
91,0.393443842,0.672527299,0.211802154,0.27233791,3
92,0.329861973,0.465416127,0.192723719,0.223793887,3
93,0.40786048,0.641184946,0.176015018,0.248184886,3
94,0.38463971,0.355987822,0.19716001,0.183539576,3
95,0.393754082,0.374436921,0.233570796,0.274015311,4
96,0.340377008,0.649259409,0.218688723,0.246385382,0
97,0.388498762,0.623131394,0.199984645,0.219949422,1
98,0.355793603,0.636831345,0.243007726,0.300204985,1
99,0.354389813,0.643504145,0.245782956,0.23096879,2
100,0.372554369,0.602923417,0.204061002,0.248399299,3
101,0.417284484,0.326636344,0.170584547,0.233801813,4
102,0.43359022,0.637392851,0.185462832,0.218782806,0
103,0.358341042,0.59340033,0.210753684,0.287594279,1
104,0.352249343,0.652295057,0.195109849,0.246496188,1
105,0.319439853,0.61385619,0.224447161,0.26279376,1
106,0.335622326,0.624631591,0.346602757,0.22947423,2
107,0.39105826,0.661489454,0.193906639,0.247903759,2
108,0.308755775,0.69877709,0.22446351,0.251295938,2
109,0.394729632,0.624298094,0.255708448,0.274671841,2
110,0.567045711,0.571600933,0.229623564,0.230062967,3
111,0.577090963,0.69351069,0.217209423,0.288214016,3
112,0.364263219,0.652097579,0.208066123,0.181809275,3
113,0.34006405,0.632109797,0.200195195,0.203108022,3
114,0.329622885,0.636974308,0.196909208,0.219075644,3
115,0.374651139,0.67797671,0.487562428,0.214025935,3
116,0.574375315,0.698556558,0.213886065,0.240022934,3
117,0.388907667,0.378037048,0.253355485,0.238694371,4
118,0.351184443,0.617004836,0.198928221,0.599578077,0
119,0.375854451,0.678719267,0.245714308,0.25936466,0
120,0.32063912,0.65810664,0.211693424,0.293253332,1
121,0.35121502,0.714238089,0.222620486,0.227648114,2
122,0.323260331,0.661896454,0.206232083,0.222013591,2
123,0.354284942,0.62160391,0.21520777,0.27818911,2
124,0.407649509,0.627554897,0.220272878,0.257635138,2
125,0.339274976,0.638045466,0.199186027,0.212257545,2
126,0.415500515,0.70790999,0.424829557,0.289195745,2
