Timestep,State,Current RUL,Cummulative Reward
1,0,[0.02381967],0
2,1,[0.0213191],900
3,1,[0.01890699],1800
4,2,[0.0249368],2600
5,3,[0.05425708],3100
6,3,[0.07406946],3600
7,3,[0.03317552],4100
8,3,[0.0268249],4600
9,3,[0.11639874],5100
10,7,[0.11639874],4600
11,2,[0.02834591],5400
12,2,[0.14923405],6200
13,6,[0.14923405],5700
14,6,[0.14923405],5200
15,6,[0.14923405],4700
16,6,[0.14923405],4200
17,6,[0.14923405],3700
18,6,[0.14923405],3200
19,1,[0.04895676],4100
20,9,[0.15583322],3100
21,9,[0.18145207],2100
22,9,[0.14659554],1100
23,9,[0.15878205],100
24,9,[0.10475192],-900
25,9,[0.08943559],-1900
26,9,[0.12947708],-2900
27,9,[0.1049538],-3900
28,9,[0.11374447],-4900
29,9,[0.09821917],-5900
30,9,[0.13036758],-6900
31,9,[0.13091995],-7900
32,9,[0.11916198],-8900
33,9,[0.11555492],-9900
34,9,[0.21802168],-10900
35,9,[0.10227308],-11900
36,9,[0.11568971],-12900
37,9,[0.12317948],-13900
38,9,[0.11483575],-14900
39,9,[0.1548317],-15900
40,0,[0.01648683],-14900
41,1,[0.01908752],-14000
42,2,[0.04049961],-13200
43,2,[0.02325404],-12400
44,3,[0.18616254],-11900
45,7,[0.18616254],-12400
46,7,[0.18616254],-12900
47,2,[0.03541891],-12100
48,2,[0.05992196],-11300
49,3,[0.1665361],-10800
50,7,[0.1665361],-11300
51,7,[0.1665361],-11800
52,7,[0.1665361],-12300
53,2,[0.01801413],-11500
54,2,[0.03789905],-10700
55,3,[0.03470324],-10200
56,3,[0.0323388],-9700
57,3,[0.03995828],-9200
58,8,[0.10959513],-12200
59,0,[0.03042701],-11200
60,0,[0.02811246],-10200
61,0,[0.13403491],-9200
62,4,[0.13403491],-9700
63,4,[0.13403491],-10200
64,4,[0.13403491],-10700
65,0,[0.03636792],-9700
66,1,[0.01688994],-8800
67,1,[0.03695661],-7900
68,1,[0.0611358],-7000
69,2,[0.02326262],-6200
70,3,[0.0246555],-5700
71,8,[0.10552066],-8700
72,0,[0.03089266],-7700
73,1,[0.0247491],-6800
74,2,[0.03823536],-6000
75,3,[0.0405747],-5500
76,8,[0.17407481],-8500
77,8,[0.15857712],-11500
78,8,[0.11168762],-14500
79,8,[0.11369137],-17500
80,0,[0.02626995],-16500
81,1,[0.03435553],-15600
82,1,[0.02548791],-14700
83,1,[0.02034409],-13800
84,1,[0.02402132],-12900
85,1,[0.02951777],-12000
86,2,[0.02330888],-11200
87,2,[0.03783465],-10400
88,2,[0.03785674],-9600
89,3,[0.15109047],-9100
90,7,[0.15109047],-9600
91,7,[0.15109047],-10100
92,2,[0.03482515],-9300
93,2,[0.00507299],-8500
94,2,[0.09003898],-7700
95,6,[0.09003898],-8200
96,6,[0.09003898],-8700
97,6,[0.09003898],-9200
98,6,[0.09003898],-9700
99,6,[0.09003898],-10200
100,1,[0.03753948],-9300
101,1,[0.03203903],-8400
102,2,[0.01566713],-7600
103,3,[0.02118302],-7100
104,3,[0.04711611],-6600
105,3,[0.0272192],-6100
106,8,[0.15095444],-9100
107,8,[0.12725461],-12100
108,8,[0.18259727],-15100
109,8,[0.12504076],-18100
110,0,[0.13125826],-17100
111,4,[0.13125826],-17600
112,4,[0.13125826],-18100
113,4,[0.13125826],-18600
114,0,[0.03207272],-17600
115,0,[0.0303805],-16600
116,0,[0.15881881],-15600
117,4,[0.15881881],-16100
118,0,[0.01331977],-15100
119,0,[0.02300364],-14100
120,0,[0.05791511],-13100
121,1,[0.03586335],-12200
122,2,[0.05028772],-11400
123,3,[0.13597829],-10900
124,7,[0.13597829],-11400
125,7,[0.13597829],-11900
126,7,[0.13597829],-12400
127,7,[0.13597829],-12900
128,7,[0.13597829],-13400
129,7,[0.13597829],-13900
130,2,[0.02491809],-13100
131,3,[0.03076675],-12600
132,3,[0.16948599],-12100
133,7,[0.16948599],-12600
134,2,[0.04150676],-11800
135,2,[0.02070893],-11000
136,2,[0.02223591],-10200
137,2,[0.01908058],-9400
138,3,[0.11999238],-8900
139,7,[0.11999238],-9400
140,7,[0.11999238],-9900
141,7,[0.11999238],-10400
142,2,[0.02219003],-9600
143,2,[0.03877511],-8800
144,3,[0.05537478],-8300
145,3,[0.03277472],-7800
146,3,[0.12476821],-7300
147,7,[0.12476821],-7800
148,7,[0.12476821],-8300
149,2,[0.01645457],-7500
150,3,[0.13139203],-7000
151,7,[0.13139203],-7500
152,7,[0.13139203],-8000
153,7,[0.13139203],-8500
154,2,[0.02977534],-7700
155,2,[0.01373646],-6900
156,2,[0.03945195],-6100
157,3,[0.14817401],-5600
158,7,[0.14817401],-6100
159,7,[0.14817401],-6600
160,2,[0.02924852],-5800
161,3,[0.01962788],-5300
162,3,[0.03248333],-4800
163,3,[0.16339896],-4300
164,7,[0.16339896],-4800
165,2,[0.0454129],-4000
166,2,[0.02788245],-3200
167,3,[0.1509042],-2700
168,7,[0.1509042],-3200
169,2,[0.04149314],-2400
170,3,[0.17800723],-1900
171,7,[0.17800723],-2400
172,7,[0.17800723],-2900
173,7,[0.17800723],-3400
174,2,[0.01091386],-2600
175,3,[0.03391198],-2100
176,3,[0.11172089],-1600
177,7,[0.11172089],-2100
178,2,[0.01362244],-1300
179,2,[0.04705831],-500
180,3,[0.14248956],0
181,7,[0.14248956],-500
182,7,[0.14248956],-1000
183,2,[0.02761682],-200
184,3,[0.03428233],300
185,3,[0.03022637],800
186,3,[0.01599889],1300
187,3,[0.16038086],1800
188,7,[0.16038086],1300
189,7,[0.16038086],800
190,2,[0.02622837],1600
191,3,[0.14223437],2100
192,7,[0.14223437],1600
193,7,[0.14223437],1100
194,2,[0.014866],1900
195,3,[0.13002304],2400
196,7,[0.13002304],1900
197,7,[0.13002304],1400
198,2,[0.02679603],2200
199,3,[0.01571067],2700
200,9,[0.14776665],1700
201,9,[0.18375605],700
202,9,[0.15814503],-300
203,9,[0.15053269],-1300
204,9,[0.12521132],-2300
205,9,[0.13126948],-3300
206,0,[0.03465611],-2300
207,0,[0.01428674],-1300
208,1,[0.0173413],-400
209,2,[0.02138356],400
210,2,[0.03070365],1200
211,2,[0.01789953],2000
212,2,[0.11930809],2800
213,6,[0.11930809],2300
214,6,[0.11930809],1800
215,6,[0.11930809],1300
216,6,[0.11930809],800
217,6,[0.11930809],300
218,6,[0.11930809],-200
219,1,[0.01158868],700
220,1,[0.03351458],1600
221,2,[0.00774871],2400
222,2,[0.02343803],3200
223,3,[0.03547568],3700
224,3,[0.02481752],4200
225,3,[0.03459223],4700
226,3,[0.00742335],5200
227,3,[0.01991283],5700
228,3,[0.02876046],6200
229,3,[0.03468236],6700
230,3,[0.15465473],7200
231,7,[0.15465473],6700
232,2,[0.01109805],7500
233,2,[0.02134724],8300
234,3,[0.02105908],8800
235,3,[0.15235935],9300
236,7,[0.15235935],8800
237,2,[0.01428332],9600
238,2,[0.01435317],10400
239,2,[0.0263507],11200
240,2,[0.09091329],12000
241,6,[0.09091329],11500
242,6,[0.09091329],11000
243,6,[0.09091329],10500
244,1,[0.02540421],11400
245,1,[0.02219126],12300
246,1,[0.020773],13200
247,1,[0.0819734],14100
248,2,[0.01980682],14900
249,2,[0.02207248],15700
250,2,[0.02697968],16500
251,3,[0.03617311],17000
252,8,[0.13624776],14000
253,8,[0.10753453],11000
254,8,[0.14221239],8000
255,0,[0.02490821],9000
256,1,[0.02815333],9900
257,1,[0.0292932],10800
258,1,[0.02488747],11700
259,1,[0.08480669],12600
260,5,[0.08480669],12100
261,5,[0.08480669],11600
262,5,[0.08480669],11100
263,5,[0.08480669],10600
264,0,[0.03761217],11600
265,0,[0.14984677],12600
266,4,[0.14984677],12100
267,0,[0.01516425],13100
268,0,[0.12737364],14100
269,4,[0.12737364],13600
270,4,[0.12737364],13100
271,0,[0.01783335],14100
272,0,[0.02752327],15100
273,1,[0.01429481],16000
274,1,[0.02017092],16900
275,1,[0.04472459],17800
276,2,[0.03598065],18600
277,2,[0.03038663],19400
278,3,[0.08027539],19900
279,3,[0.01789485],20400
280,3,[0.1579649],20900
281,7,[0.1579649],20400
282,7,[0.1579649],19900
283,7,[0.1579649],19400
284,7,[0.1579649],18900
285,7,[0.1579649],18400
286,2,[0.01482643],19200
287,2,[0.02721069],20000
288,2,[0.01868641],20800
289,2,[0.03383339],21600
290,2,[0.02188055],22400
291,3,[0.02911219],22900
292,3,[0.04665889],23400
293,3,[0.03860601],23900
294,3,[0.01807551],24400
295,3,[0.03480754],24900
296,3,[0.05086826],25400
297,8,[0.1640808],22400
298,8,[0.14884315],19400
299,8,[0.14252147],16400
300,8,[0.14551672],13400
301,0,[0.15289277],14400
302,4,[0.15289277],13900
303,0,[0.05628546],14900
304,0,[0.03421465],15900
305,0,[0.03108254],16900
306,1,[0.02733391],17800
307,1,[0.02915247],18700
308,2,[0.02055863],19500
309,2,[0.0354851],20300
310,3,[0.15049773],20800
311,7,[0.15049773],20300
312,7,[0.15049773],19800
313,7,[0.15049773],19300
314,7,[0.15049773],18800
315,2,[0.01580083],19600
316,3,[0.08337526],20100
317,8,[0.12987901],17100
318,0,[0.03478819],18100
319,0,[0.02652186],19100
320,0,[0.02130507],20100
321,0,[0.03899333],21100
322,0,[0.02596514],22100
323,0,[0.02023043],23100
324,1,[0.05369414],24000
325,1,[0.03172821],24900
326,2,[0.02807387],25700
327,2,[0.04224802],26500
328,2,[0.02127432],27300
329,2,[0.02693461],28100
330,2,[0.01696876],28900
331,2,[0.01908471],29700
332,3,[0.02057638],30200
333,3,[0.04237188],30700
334,8,[0.10590857],27700
335,8,[0.12057351],24700
336,8,[0.16380438],21700
337,0,[0.04018184],22700
338,9,[0.14817738],21700
339,9,[0.10931753],20700
340,9,[0.14251087],19700
341,0,[0.03647191],20700
342,1,[0.024526],21600
343,2,[0.04411908],22400
344,2,[0.04551624],23200
345,2,[0.02756411],24000
346,9,[0.16959351],23000
347,9,[0.12813253],22000
348,9,[0.13869571],21000
349,9,[0.15090088],20000
350,9,[0.12171484],19000
