Timestep,State,Current RUL,Cummulative Reward
1.0,0.0,10.0,0.0
2.0,0.0,10.0,1000.0
3.0,1.0,10.0,1900.0
4.0,1.0,6.725299835205078,2800.0
5.0,1.0,5.779799938201904,3700.0
6.0,1.0,5.20419979095459,4600.0
7.0,5.0,5.20419979095459,4100.0
8.0,5.0,5.20419979095459,3600.0
9.0,5.0,5.20419979095459,3100.0
10.0,5.0,5.20419979095459,2600.0
11.0,0.0,5.20419979095459,3600.0
12.0,0.0,5.20419979095459,4600.0
13.0,0.0,5.20419979095459,5600.0
14.0,1.0,7.934999942779541,6500.0
15.0,1.0,6.371300220489502,7400.0
16.0,1.0,6.285099983215332,8300.0
17.0,1.0,5.305500030517578,9200.0
18.0,5.0,5.305500030517578,8700.0
19.0,0.0,5.305500030517578,9700.0
20.0,1.0,5.305500030517578,10600.0
21.0,1.0,5.305500030517578,11500.0
22.0,1.0,6.1579999923706055,12400.0
23.0,1.0,5.219200134277344,13300.0
24.0,5.0,5.219200134277344,12800.0
25.0,0.0,5.219200134277344,13800.0
26.0,1.0,5.219200134277344,14700.0
27.0,1.0,5.219200134277344,15600.0
28.0,1.0,7.015200138092041,16500.0
29.0,1.0,6.526000022888184,17400.0
30.0,2.0,5.422100067138672,18200.0
31.0,6.0,5.422100067138672,17700.0
32.0,6.0,5.422100067138672,17200.0
33.0,1.0,5.422100067138672,18100.0
34.0,2.0,5.422100067138672,18900.0
35.0,2.0,5.422100067138672,19700.0
36.0,2.0,8.773900032043457,20500.0
37.0,2.0,7.386199951171875,21300.0
38.0,2.0,6.305699825286865,22100.0
39.0,2.0,5.283100128173828,22900.0
40.0,6.0,5.283100128173828,22400.0
41.0,1.0,5.283100128173828,23300.0
42.0,1.0,5.283100128173828,24200.0
43.0,2.0,5.283100128173828,25000.0
44.0,2.0,5.638400077819824,25800.0
45.0,6.0,5.638400077819824,25300.0
46.0,6.0,5.638400077819824,24800.0
47.0,6.0,5.638400077819824,24300.0
48.0,1.0,5.638400077819824,25200.0
49.0,1.0,5.638400077819824,26100.0
50.0,1.0,5.638400077819824,27000.0
51.0,2.0,6.252399921417236,27800.0
52.0,2.0,5.346099853515625,28600.0
53.0,6.0,5.346099853515625,28100.0
54.0,1.0,5.346099853515625,29000.0
55.0,2.0,5.346099853515625,29800.0
56.0,2.0,5.346099853515625,30600.0
57.0,2.0,5.873600006103516,31400.0
58.0,3.0,4.62470006942749,31900.0
59.0,7.0,4.62470006942749,31400.0
60.0,2.0,4.62470006942749,32200.0
61.0,2.0,4.62470006942749,33000.0
62.0,2.0,4.62470006942749,33800.0
63.0,3.0,5.162199974060059,34300.0
64.0,7.0,5.162199974060059,33800.0
65.0,7.0,5.162199974060059,33300.0
66.0,7.0,5.162199974060059,32800.0
67.0,2.0,5.162199974060059,33600.0
68.0,2.0,5.162199974060059,34400.0
69.0,3.0,5.162199974060059,34900.0
70.0,3.0,6.953700065612793,35400.0
71.0,3.0,3.815000057220459,35900.0
72.0,7.0,3.815000057220459,35400.0
73.0,7.0,3.815000057220459,34900.0
74.0,7.0,3.815000057220459,34400.0
75.0,7.0,3.815000057220459,33900.0
76.0,7.0,3.815000057220459,33400.0
77.0,7.0,3.815000057220459,32900.0
78.0,2.0,3.815000057220459,33700.0
79.0,2.0,3.815000057220459,34500.0
80.0,2.0,3.815000057220459,35300.0
81.0,2.0,6.2957000732421875,36100.0
82.0,2.0,5.746799945831299,36900.0
83.0,2.0,5.536300182342529,37700.0
84.0,6.0,5.536300182342529,37200.0
85.0,6.0,5.536300182342529,36700.0
86.0,1.0,5.536300182342529,37600.0
87.0,1.0,5.536300182342529,38500.0
88.0,1.0,5.536300182342529,39400.0
89.0,2.0,6.541999816894531,40200.0
90.0,2.0,6.104100227355957,41000.0
91.0,2.0,5.626200199127197,41800.0
92.0,6.0,5.626200199127197,41300.0
93.0,1.0,5.626200199127197,42200.0
94.0,2.0,5.626200199127197,43000.0
95.0,2.0,5.626200199127197,43800.0
96.0,3.0,5.570000171661377,44300.0
97.0,7.0,5.570000171661377,43800.0
98.0,7.0,5.570000171661377,43300.0
99.0,7.0,5.570000171661377,42800.0
100.0,2.0,5.570000171661377,43600.0
101.0,3.0,5.570000171661377,44100.0
102.0,3.0,5.570000171661377,44600.0
103.0,3.0,5.430600166320801,45100.0
104.0,7.0,5.430600166320801,44600.0
105.0,2.0,5.430600166320801,45400.0
106.0,3.0,5.430600166320801,45900.0
107.0,3.0,5.430600166320801,46400.0
108.0,3.0,5.970900058746338,46900.0
109.0,3.0,3.2144999504089355,47400.0
110.0,7.0,3.2144999504089355,46900.0
111.0,2.0,3.2144999504089355,47700.0
112.0,3.0,3.2144999504089355,48200.0
113.0,3.0,3.2144999504089355,48700.0
114.0,3.0,6.267499923706055,49200.0
115.0,3.0,2.938499927520752,49700.0
116.0,7.0,2.938499927520752,49200.0
117.0,2.0,2.938499927520752,50000.0
118.0,3.0,2.938499927520752,50500.0
119.0,3.0,2.938499927520752,51000.0
120.0,3.0,6.123899936676025,51500.0
121.0,8.0,6.123899936676025,48500.0
122.0,8.0,6.123899936676025,45500.0
123.0,8.0,6.123899936676025,42500.0
124.0,8.0,6.123899936676025,39500.0
125.0,8.0,6.123899936676025,36500.0
126.0,8.0,6.123899936676025,33500.0
127.0,8.0,6.123899936676025,30500.0
128.0,8.0,6.123899936676025,27500.0
