Timestep,State,Current RUL,Cummulative Reward
1.0,0.0,10.8321,0.0
2.0,0.0,9.6658,1000.0
3.0,0.0,8.4172,2000.0
4.0,0.0,8.6319,3000.0
5.0,0.0,6.258,4000.0
6.0,0.0,4.8683,5000.0
7.0,4.0,4.8683,4500.0
8.0,0.0,8.168,5500.0
9.0,1.0,7.4247,6400.0
10.0,2.0,5.3122,7200.0
11.0,6.0,5.3122,6700.0
12.0,1.0,8.1373,7600.0
13.0,1.0,7.2733,8500.0
14.0,1.0,6.5936,9400.0
15.0,2.0,6.9581,10200.0
16.0,2.0,2.0227,11000.0
17.0,6.0,2.0227,10500.0
18.0,6.0,2.0227,10000.0
19.0,6.0,2.0227,9500.0
20.0,1.0,6.1847,10400.0
21.0,1.0,4.8797,11300.0
22.0,5.0,4.8797,10800.0
23.0,5.0,4.8797,10300.0
24.0,0.0,7.6377,11300.0
25.0,0.0,5.9001,12300.0
26.0,0.0,5.9212,13300.0
27.0,0.0,5.3653,14300.0
28.0,4.0,5.3653,13800.0
29.0,0.0,6.4896,14800.0
30.0,1.0,7.6235,15700.0
31.0,1.0,5.5412,16600.0
32.0,1.0,5.7126,17500.0
33.0,1.0,5.0917,18400.0
34.0,5.0,5.0917,17900.0
35.0,0.0,5.0847,18900.0
36.0,4.0,5.0847,18400.0
37.0,0.0,6.2658,19400.0
38.0,1.0,5.1949,20300.0
39.0,5.0,5.1949,19800.0
40.0,5.0,5.1949,19300.0
41.0,5.0,5.1949,18800.0
42.0,5.0,5.1949,18300.0
43.0,5.0,5.1949,17800.0
44.0,0.0,9.2445,18800.0
45.0,0.0,6.7069,19800.0
46.0,1.0,5.2684,20700.0
47.0,5.0,5.2684,20200.0
48.0,0.0,6.8982,21200.0
49.0,0.0,6.7282,22200.0
50.0,0.0,6.1503,23200.0
51.0,0.0,1.5961,24200.0
52.0,4.0,1.5961,23700.0
53.0,4.0,1.5961,23200.0
54.0,0.0,6.6432,24200.0
55.0,0.0,3.6156,25200.0
56.0,4.0,3.6156,24700.0
57.0,0.0,6.6192,25700.0
58.0,0.0,6.021,26700.0
59.0,1.0,6.9351,27600.0
60.0,1.0,6.1922,28500.0
61.0,2.0,5.2964,29300.0
62.0,6.0,5.2964,28800.0
63.0,1.0,6.3409,29700.0
64.0,1.0,6.2183,30600.0
65.0,1.0,5.2213,31500.0
66.0,5.0,5.2213,31000.0
67.0,5.0,5.2213,30500.0
68.0,5.0,5.2213,30000.0
69.0,5.0,5.2213,29500.0
70.0,0.0,3.9523,30500.0
71.0,4.0,3.9523,30000.0
72.0,0.0,9.4812,31000.0
73.0,0.0,4.7782,32000.0
74.0,4.0,4.7782,31500.0
75.0,4.0,4.7782,31000.0
76.0,4.0,4.7782,30500.0
77.0,0.0,8.57,31500.0
78.0,0.0,7.6719,32500.0
79.0,1.0,6.2902,33400.0
80.0,2.0,6.3868,34200.0
81.0,3.0,3.885,34700.0
82.0,7.0,3.885,34200.0
83.0,7.0,3.885,33700.0
84.0,2.0,6.5781,34500.0
85.0,3.0,5.5483,35000.0
86.0,3.0,6.3471,35500.0
87.0,3.0,4.6872,36000.0
88.0,7.0,4.6872,35500.0
89.0,2.0,7.2845,36300.0
90.0,2.0,5.1847,37100.0
91.0,6.0,5.1847,36600.0
92.0,6.0,5.1847,36100.0
93.0,6.0,5.1847,35600.0
94.0,1.0,6.3154,36500.0
95.0,1.0,6.3262,37400.0
96.0,1.0,5.6778,38300.0
97.0,1.0,4.5746,39200.0
98.0,5.0,4.5746,38700.0
99.0,0.0,6.8709,39700.0
100.0,1.0,4.7364,40600.0
101.0,5.0,4.7364,40100.0
102.0,0.0,6.4064,41100.0
103.0,0.0,6.5743,42100.0
104.0,0.0,5.819,43100.0
105.0,0.0,5.3318,44100.0
106.0,4.0,5.3318,43600.0
107.0,4.0,5.3318,43100.0
108.0,4.0,5.3318,42600.0
109.0,4.0,5.3318,42100.0
110.0,0.0,6.5427,43100.0
111.0,1.0,5.498,44000.0
112.0,5.0,5.498,43500.0
113.0,5.0,5.498,43000.0
114.0,5.0,5.498,42500.0
115.0,5.0,5.498,42000.0
116.0,5.0,5.498,41500.0
117.0,5.0,5.498,41000.0
118.0,5.0,5.498,40500.0
119.0,0.0,5.2544,41500.0
120.0,4.0,5.2544,41000.0
121.0,0.0,9.5506,42000.0
122.0,0.0,6.5292,43000.0
123.0,1.0,6.5277,43900.0
124.0,2.0,5.7947,44700.0
125.0,2.0,5.0887,45500.0
126.0,6.0,5.0887,45000.0
127.0,6.0,5.0887,44500.0
128.0,1.0,6.5315,45400.0
129.0,2.0,5.3602,46200.0
130.0,6.0,5.3602,45700.0
131.0,6.0,5.3602,45200.0
132.0,1.0,3.2484,46100.0
133.0,5.0,3.2484,45600.0
134.0,0.0,8.8639,46600.0
135.0,0.0,7.4398,47600.0
136.0,9.0,7.4398,46600.0
137.0,9.0,7.4398,45600.0
138.0,9.0,7.4398,44600.0
139.0,9.0,7.4398,43600.0
140.0,9.0,7.4398,42600.0
141.0,9.0,7.4398,41600.0
142.0,9.0,7.4398,40600.0
143.0,0.0,10.7578,41600.0
144.0,1.0,9.5092,42500.0
145.0,1.0,8.5711,43400.0
146.0,2.0,7.4758,44200.0
147.0,3.0,2.9426,44700.0
148.0,7.0,2.9426,44200.0
149.0,7.0,2.9426,43700.0
150.0,2.0,8.6736,44500.0
151.0,3.0,5.6736,45000.0
152.0,8.0,5.6736,42000.0
153.0,0.0,10.584,43000.0
154.0,1.0,9.7705,43900.0
155.0,1.0,8.3844,44800.0
156.0,1.0,7.6664,45700.0
157.0,1.0,7.6554,46600.0
158.0,1.0,6.8959,47500.0
159.0,1.0,5.8361,48400.0
160.0,1.0,5.4401,49300.0
161.0,5.0,5.4401,48800.0
162.0,0.0,5.447,49800.0
163.0,4.0,5.447,49300.0
164.0,4.0,5.447,48800.0
165.0,0.0,7.7617,49800.0
166.0,1.0,6.8522,50700.0
167.0,1.0,2.4366,51600.0
168.0,5.0,2.4366,51100.0
169.0,5.0,2.4366,50600.0
170.0,0.0,7.3168,51600.0
171.0,1.0,7.7046,52500.0
172.0,1.0,5.1618,53400.0
173.0,5.0,5.1618,52900.0
174.0,0.0,7.5415,53900.0
175.0,0.0,7.9529,54900.0
176.0,0.0,5.901,55900.0
177.0,0.0,6.3127,56900.0
178.0,1.0,5.2374,57800.0
179.0,5.0,5.2374,57300.0
180.0,5.0,5.2374,56800.0
181.0,5.0,5.2374,56300.0
182.0,0.0,5.273,57300.0
183.0,4.0,5.273,56800.0
184.0,4.0,5.273,56300.0
185.0,4.0,5.273,55800.0
186.0,4.0,5.273,55300.0
187.0,0.0,8.5663,56300.0
188.0,0.0,7.5718,57300.0
189.0,0.0,7.5635,58300.0
190.0,1.0,5.2002,59200.0
191.0,5.0,5.2002,58700.0
192.0,5.0,5.2002,58200.0
193.0,5.0,5.2002,57700.0
194.0,0.0,7.4505,58700.0
195.0,0.0,6.2455,59700.0
196.0,0.0,5.1593,60700.0
197.0,4.0,5.1593,60200.0
198.0,0.0,8.4751,61200.0
199.0,0.0,5.9414,62200.0
200.0,1.0,5.3794,63100.0
201.0,5.0,5.3794,62600.0
202.0,5.0,5.3794,62100.0
203.0,5.0,5.3794,61600.0
204.0,5.0,5.3794,61100.0
205.0,5.0,5.3794,60600.0
206.0,5.0,5.3794,60100.0
207.0,0.0,8.3592,61100.0
208.0,0.0,5.202,62100.0
209.0,4.0,5.202,61600.0
210.0,4.0,5.202,61100.0
211.0,0.0,8.5324,62100.0
212.0,0.0,5.9084,63100.0
213.0,0.0,5.8037,64100.0
214.0,1.0,4.5048,65000.0
215.0,5.0,4.5048,64500.0
216.0,0.0,7.8233,65500.0
217.0,1.0,6.56,66400.0
218.0,2.0,4.6865,67200.0
219.0,6.0,4.6865,66700.0
220.0,6.0,4.6865,66200.0
221.0,1.0,6.6995,67100.0
222.0,2.0,4.7011,67900.0
223.0,6.0,4.7011,67400.0
224.0,1.0,5.2229,68300.0
225.0,5.0,5.2229,67800.0
226.0,0.0,9.4745,68800.0
227.0,0.0,8.2408,69800.0
228.0,0.0,7.8559,70800.0
229.0,0.0,6.3489,71800.0
230.0,1.0,4.6138,72700.0
231.0,5.0,4.6138,72200.0
232.0,0.0,8.5636,73200.0
233.0,0.0,7.354,74200.0
234.0,0.0,6.1864,75200.0
235.0,1.0,5.7205,76100.0
236.0,2.0,5.4281,76900.0
237.0,6.0,5.4281,76400.0
238.0,6.0,5.4281,75900.0
239.0,1.0,5.3596,76800.0
240.0,5.0,5.3596,76300.0
241.0,0.0,7.6777,77300.0
242.0,0.0,6.8165,78300.0
243.0,0.0,6.5519,79300.0
244.0,0.0,6.1397,80300.0
245.0,0.0,1.6163,81300.0
246.0,4.0,1.6163,80800.0
247.0,4.0,1.6163,80300.0
248.0,0.0,6.1414,81300.0
249.0,1.0,5.6381,82200.0
250.0,1.0,5.3084,83100.0
251.0,5.0,5.3084,82600.0
252.0,5.0,5.3084,82100.0
253.0,0.0,5.4252,83100.0
254.0,4.0,5.4252,82600.0
255.0,4.0,5.4252,82100.0
256.0,0.0,7.0634,83100.0
257.0,0.0,8.1567,84100.0
258.0,0.0,5.8488,85100.0
259.0,0.0,5.042,86100.0
260.0,4.0,5.042,85600.0
261.0,0.0,7.5218,86600.0
262.0,1.0,7.0348,87500.0
263.0,1.0,3.4607,88400.0
264.0,5.0,3.4607,87900.0
265.0,5.0,3.4607,87400.0
266.0,5.0,3.4607,86900.0
267.0,5.0,3.4607,86400.0
268.0,0.0,8.0626,87400.0
269.0,0.0,6.1177,88400.0
270.0,1.0,6.1766,89300.0
271.0,1.0,5.7579,90200.0
272.0,1.0,4.8325,91100.0
273.0,5.0,4.8325,90600.0
274.0,0.0,5.588,91600.0
275.0,1.0,4.9171,92500.0
276.0,5.0,4.9171,92000.0
277.0,0.0,7.0334,93000.0
278.0,0.0,6.1227,94000.0
279.0,0.0,5.448,95000.0
280.0,4.0,5.448,94500.0
281.0,0.0,6.9619,95500.0
282.0,1.0,5.5257,96400.0
283.0,1.0,5.933,97300.0
284.0,1.0,5.5245,98200.0
285.0,2.0,0.8633,99000.0
286.0,6.0,0.8633,98500.0
287.0,6.0,0.8633,98000.0
288.0,6.0,0.8633,97500.0
289.0,6.0,0.8633,97000.0
290.0,1.0,5.2037,97900.0
291.0,5.0,5.2037,97400.0
292.0,0.0,5.8138,98400.0
293.0,1.0,6.493,99300.0
294.0,1.0,4.9374,100200.0
295.0,5.0,4.9374,99700.0
296.0,0.0,8.8325,100700.0
297.0,1.0,6.2273,101600.0
298.0,1.0,6.3462,102500.0
299.0,1.0,5.3805,103400.0
300.0,5.0,5.3805,102900.0
301.0,0.0,5.0366,103900.0
302.0,4.0,5.0366,103400.0
303.0,0.0,6.6037,104400.0
304.0,0.0,6.0289,105400.0
305.0,0.0,6.1637,106400.0
306.0,0.0,6.4948,107400.0
307.0,0.0,5.4436,108400.0
308.0,4.0,5.4436,107900.0
309.0,4.0,5.4436,107400.0
310.0,4.0,5.4436,106900.0
311.0,0.0,6.0762,107900.0
312.0,0.0,1.6159,108900.0
313.0,4.0,1.6159,108400.0
314.0,0.0,7.0102,109400.0
315.0,0.0,6.1932,110400.0
316.0,0.0,6.1242,111400.0
317.0,1.0,4.7535,112300.0
318.0,5.0,4.7535,111800.0
319.0,0.0,6.1088,112800.0
320.0,0.0,6.0945,113800.0
321.0,0.0,4.671,114800.0
322.0,4.0,4.671,114300.0
323.0,4.0,4.671,113800.0
324.0,4.0,4.671,113300.0
325.0,0.0,5.9555,114300.0
326.0,1.0,5.8691,115200.0
327.0,1.0,4.8066,116100.0
328.0,5.0,4.8066,115600.0
329.0,0.0,7.3494,116600.0
330.0,0.0,5.747,117600.0
331.0,0.0,4.6281,118600.0
332.0,4.0,4.6281,118100.0
333.0,4.0,4.6281,117600.0
334.0,4.0,4.6281,117100.0
335.0,0.0,3.8482,118100.0
336.0,4.0,3.8482,117600.0
337.0,0.0,6.6629,118600.0
338.0,0.0,7.817,119600.0
339.0,0.0,5.1309,120600.0
340.0,4.0,5.1309,120100.0
341.0,4.0,5.1309,119600.0
342.0,0.0,7.2072,120600.0
343.0,0.0,6.285,121600.0
344.0,0.0,5.6202,122600.0
345.0,0.0,5.7374,123600.0
346.0,0.0,5.5935,124600.0
347.0,0.0,4.9033,125600.0
348.0,4.0,4.9033,125100.0
349.0,0.0,5.908,126100.0
350.0,0.0,5.487,127100.0
351.0,4.0,5.487,126600.0
352.0,4.0,5.487,126100.0
353.0,4.0,5.487,125600.0
354.0,0.0,5.8358,126600.0
355.0,1.0,5.1218,127500.0
356.0,5.0,5.1218,127000.0
357.0,5.0,5.1218,126500.0
358.0,5.0,5.1218,126000.0
359.0,0.0,5.3269,127000.0
360.0,4.0,5.3269,126500.0
361.0,0.0,7.7749,127500.0
362.0,0.0,7.0962,128500.0
363.0,0.0,5.6786,129500.0
364.0,1.0,6.3444,130400.0
365.0,1.0,5.7036,131300.0
366.0,1.0,4.9635,132200.0
367.0,5.0,4.9635,131700.0
368.0,5.0,4.9635,131200.0
369.0,5.0,4.9635,130700.0
370.0,5.0,4.9635,130200.0
371.0,5.0,4.9635,129700.0
372.0,5.0,4.9635,129200.0
373.0,5.0,4.9635,128700.0
374.0,0.0,7.1418,129700.0
375.0,1.0,5.3824,130600.0
376.0,5.0,5.3824,130100.0
377.0,5.0,5.3824,129600.0
378.0,0.0,5.6147,130600.0
379.0,1.0,7.2279,131500.0
380.0,1.0,4.8717,132400.0
381.0,5.0,4.8717,131900.0
382.0,5.0,4.8717,131400.0
383.0,0.0,6.1088,132400.0
384.0,0.0,6.3646,133400.0
385.0,1.0,5.7017,134300.0
386.0,1.0,0.7879,135200.0
387.0,5.0,0.7879,134700.0
388.0,0.0,6.0909,135700.0
389.0,0.0,5.6773,136700.0
390.0,0.0,5.108,137700.0
391.0,4.0,5.108,137200.0
392.0,0.0,6.1331,138200.0
393.0,0.0,5.9084,139200.0
394.0,0.0,5.2258,140200.0
395.0,4.0,5.2258,139700.0
396.0,0.0,5.9916,140700.0
397.0,1.0,5.8185,141600.0
398.0,2.0,4.5449,142400.0
399.0,6.0,4.5449,141900.0
400.0,6.0,4.5449,141400.0
401.0,6.0,4.5449,140900.0
402.0,1.0,5.9374,141800.0
403.0,2.0,5.8101,142600.0
404.0,2.0,4.8546,143400.0
405.0,6.0,4.8546,142900.0
406.0,1.0,4.8795,143800.0
407.0,5.0,4.8795,143300.0
408.0,0.0,6.8975,144300.0
409.0,1.0,6.5747,145200.0
410.0,1.0,5.8896,146100.0
411.0,1.0,4.7887,147000.0
412.0,5.0,4.7887,146500.0
413.0,0.0,7.9474,147500.0
414.0,0.0,5.46,148500.0
415.0,4.0,5.46,148000.0
416.0,0.0,8.0876,149000.0
417.0,0.0,6.7738,150000.0
418.0,0.0,5.4158,151000.0
419.0,4.0,5.4158,150500.0
420.0,4.0,5.4158,150000.0
421.0,4.0,5.4158,149500.0
422.0,4.0,5.4158,149000.0
423.0,0.0,6.8268,150000.0
424.0,0.0,5.3449,151000.0
425.0,4.0,5.3449,150500.0
426.0,4.0,5.3449,150000.0
427.0,0.0,7.6636,151000.0
428.0,1.0,5.7302,151900.0
429.0,1.0,6.2844,152800.0
430.0,1.0,5.441,153700.0
431.0,5.0,5.441,153200.0
432.0,5.0,5.441,152700.0
433.0,5.0,5.441,152200.0
434.0,0.0,6.9482,153200.0
435.0,9.0,6.9482,152200.0
436.0,9.0,6.9482,151200.0
437.0,9.0,6.9482,150200.0
438.0,9.0,6.9482,149200.0
439.0,0.0,10.8496,150200.0
440.0,0.0,9.6083,151200.0
441.0,0.0,8.7692,152200.0
442.0,0.0,8.0302,153200.0
443.0,0.0,6.9561,154200.0
444.0,1.0,5.788,155100.0
445.0,1.0,6.472,156000.0
446.0,2.0,5.1574,156800.0
447.0,6.0,5.1574,156300.0
448.0,1.0,6.0643,157200.0
449.0,2.0,5.2757,158000.0
450.0,6.0,5.2757,157500.0
451.0,1.0,7.364,158400.0
452.0,1.0,6.9608,159300.0
453.0,2.0,6.2523,160100.0
454.0,2.0,5.341,160900.0
455.0,6.0,5.341,160400.0
456.0,6.0,5.341,159900.0
457.0,1.0,7.0849,160800.0
458.0,2.0,6.3981,161600.0
459.0,2.0,5.3121,162400.0
460.0,6.0,5.3121,161900.0
461.0,6.0,5.3121,161400.0
462.0,6.0,5.3121,160900.0
463.0,6.0,5.3121,160400.0
464.0,6.0,5.3121,159900.0
465.0,1.0,6.3367,160800.0
466.0,1.0,5.5985,161700.0
467.0,1.0,5.5501,162600.0
468.0,2.0,5.2542,163400.0
469.0,6.0,5.2542,162900.0
470.0,1.0,5.3812,163800.0
471.0,5.0,5.3812,163300.0
472.0,5.0,5.3812,162800.0
473.0,0.0,7.6694,163800.0
474.0,0.0,7.5441,164800.0
475.0,0.0,6.1739,165800.0
476.0,1.0,5.3488,166700.0
477.0,5.0,5.3488,166200.0
478.0,5.0,5.3488,165700.0
479.0,5.0,5.3488,165200.0
480.0,5.0,5.3488,164700.0
481.0,0.0,7.9818,165700.0
482.0,1.0,6.9335,166600.0
483.0,1.0,5.7445,167500.0
484.0,1.0,5.112,168400.0
485.0,5.0,5.112,167900.0
486.0,5.0,5.112,167400.0
487.0,0.0,5.7935,168400.0
488.0,1.0,5.5869,169300.0
489.0,2.0,5.0786,170100.0
490.0,6.0,5.0786,169600.0
491.0,6.0,5.0786,169100.0
492.0,1.0,6.6879,170000.0
493.0,1.0,5.5046,170900.0
494.0,2.0,5.0378,171700.0
495.0,6.0,5.0378,171200.0
496.0,6.0,5.0378,170700.0
497.0,6.0,5.0378,170200.0
498.0,6.0,5.0378,169700.0
499.0,6.0,5.0378,169200.0
500.0,6.0,5.0378,168700.0
501.0,6.0,5.0378,168200.0
502.0,1.0,5.6083,169100.0
503.0,2.0,4.6934,169900.0
504.0,6.0,4.6934,169400.0
505.0,1.0,6.3633,170300.0
506.0,2.0,5.5302,171100.0
507.0,3.0,1.4428,171600.0
508.0,7.0,1.4428,171100.0
509.0,2.0,6.8336,171900.0
510.0,3.0,5.277,172400.0
511.0,7.0,5.277,171900.0
512.0,7.0,5.277,171400.0
513.0,7.0,5.277,170900.0
514.0,2.0,6.3049,171700.0
515.0,2.0,5.0335,172500.0
516.0,6.0,5.0335,172000.0
517.0,6.0,5.0335,171500.0
518.0,6.0,5.0335,171000.0
519.0,6.0,5.0335,170500.0
520.0,1.0,7.9374,171400.0
521.0,1.0,5.5469,172300.0
522.0,2.0,5.9468,173100.0
523.0,3.0,5.0347,173600.0
524.0,7.0,5.0347,173100.0
525.0,2.0,6.7244,173900.0
526.0,2.0,8.52,174700.0
527.0,3.0,4.7174,175200.0
528.0,7.0,4.7174,174700.0
529.0,7.0,4.7174,174200.0
530.0,2.0,6.5901,175000.0
531.0,3.0,5.2371,175500.0
532.0,7.0,5.2371,175000.0
533.0,2.0,8.0884,175800.0
534.0,2.0,6.678,176600.0
535.0,2.0,5.7964,177400.0
536.0,2.0,5.689,178200.0
537.0,2.0,5.6116,179000.0
538.0,9.0,5.6116,178000.0
539.0,9.0,5.6116,177000.0
540.0,9.0,5.6116,176000.0
541.0,9.0,5.6116,175000.0
542.0,9.0,5.6116,174000.0
543.0,9.0,5.6116,173000.0
544.0,9.0,5.6116,172000.0
545.0,0.0,10.8196,173000.0
546.0,1.0,9.7184,173900.0
547.0,1.0,9.3248,174800.0
548.0,1.0,8.3432,175700.0
549.0,1.0,6.8279,176600.0
550.0,1.0,6.7185,177500.0
551.0,1.0,5.6547,178400.0
552.0,1.0,5.1606,179300.0
553.0,5.0,5.1606,178800.0
554.0,5.0,5.1606,178300.0
555.0,0.0,3.6213,179300.0
556.0,4.0,3.6213,178800.0
557.0,0.0,7.4493,179800.0
558.0,1.0,7.1839,180700.0
559.0,2.0,6.3567,181500.0
560.0,2.0,2.1919,182300.0
561.0,6.0,2.1919,181800.0
562.0,1.0,7.3581,182700.0
563.0,2.0,6.1843,183500.0
564.0,2.0,5.8802,184300.0
565.0,2.0,5.5123,185100.0
566.0,2.0,4.6191,185900.0
567.0,6.0,4.6191,185400.0
568.0,1.0,6.5873,186300.0
569.0,1.0,5.586,187200.0
570.0,1.0,5.3226,188100.0
571.0,5.0,5.3226,187600.0
572.0,5.0,5.3226,187100.0
573.0,0.0,5.784,188100.0
574.0,1.0,5.2737,189000.0
575.0,5.0,5.2737,188500.0
576.0,0.0,5.4957,189500.0
577.0,4.0,5.4957,189000.0
578.0,0.0,7.9913,190000.0
579.0,1.0,6.5634,190900.0
580.0,1.0,7.3253,191800.0
581.0,2.0,6.0472,192600.0
582.0,3.0,5.6579,193100.0
583.0,8.0,5.6579,190100.0
584.0,8.0,5.6579,187100.0
585.0,8.0,5.6579,184100.0
586.0,8.0,5.6579,181100.0
587.0,0.0,10.8021,182100.0
588.0,1.0,9.8694,183000.0
589.0,1.0,8.9964,183900.0
590.0,1.0,7.9338,184800.0
591.0,2.0,6.7467,185600.0
592.0,2.0,5.3927,186400.0
593.0,6.0,5.3927,185900.0
594.0,6.0,5.3927,185400.0
595.0,6.0,5.3927,184900.0
596.0,1.0,6.2151,185800.0
597.0,1.0,6.1819,186700.0
598.0,1.0,6.4282,187600.0
599.0,2.0,1.9609,188400.0
600.0,6.0,1.9609,187900.0
601.0,6.0,1.9609,187400.0
602.0,6.0,1.9609,186900.0
603.0,6.0,1.9609,186400.0
604.0,1.0,6.2038,187300.0
605.0,1.0,7.8586,188200.0
606.0,1.0,5.7822,189100.0
607.0,2.0,5.0957,189900.0
608.0,6.0,5.0957,189400.0
609.0,1.0,4.9943,190300.0
610.0,5.0,4.9943,189800.0
611.0,5.0,4.9943,189300.0
612.0,5.0,4.9943,188800.0
613.0,5.0,4.9943,188300.0
614.0,0.0,7.8095,189300.0
615.0,1.0,6.5803,190200.0
616.0,1.0,6.8084,191100.0
617.0,1.0,5.7707,192000.0
618.0,1.0,5.1422,192900.0
619.0,5.0,5.1422,192400.0
620.0,0.0,6.829,193400.0
621.0,0.0,6.9299,194400.0
622.0,0.0,1.535,195400.0
623.0,4.0,1.535,194900.0
624.0,4.0,1.535,194400.0
625.0,4.0,1.535,193900.0
626.0,0.0,7.7111,194900.0
627.0,1.0,5.0727,195800.0
628.0,5.0,5.0727,195300.0
629.0,5.0,5.0727,194800.0
630.0,0.0,9.0874,195800.0
631.0,0.0,6.359,196800.0
632.0,0.0,3.8059,197800.0
633.0,4.0,3.8059,197300.0
634.0,0.0,5.8223,198300.0
635.0,1.0,7.45,199200.0
636.0,2.0,5.3435,200000.0
637.0,6.0,5.3435,199500.0
638.0,6.0,5.3435,199000.0
639.0,6.0,5.3435,198500.0
640.0,1.0,7.5003,199400.0
641.0,1.0,2.6715,200300.0
642.0,5.0,2.6715,199800.0
643.0,0.0,7.8164,200800.0
644.0,1.0,7.3102,201700.0
645.0,2.0,5.3026,202500.0
646.0,6.0,5.3026,202000.0
647.0,1.0,8.5675,202900.0
648.0,1.0,7.9857,203800.0
649.0,2.0,4.776,204600.0
650.0,6.0,4.776,204100.0
651.0,6.0,4.776,203600.0
652.0,6.0,4.776,203100.0
653.0,6.0,4.776,202600.0
654.0,1.0,7.9737,203500.0
655.0,1.0,6.462,204400.0
656.0,1.0,6.2716,205300.0
657.0,1.0,6.4417,206200.0
658.0,1.0,5.0726,207100.0
659.0,5.0,5.0726,206600.0
660.0,0.0,7.3839,207600.0
661.0,0.0,6.0305,208600.0
662.0,1.0,5.7259,209500.0
663.0,2.0,5.0962,210300.0
664.0,6.0,5.0962,209800.0
665.0,6.0,5.0962,209300.0
