Timestep,State,Current RUL,Cummulative Reward
1.0,0.0,10.8321,0.0
2.0,0.0,9.6658,1000.0
3.0,1.0,8.8896,1900.0
4.0,2.0,7.3198,2700.0
5.0,3.0,4.5642,3200.0
6.0,7.0,4.5642,2700.0
7.0,2.0,9.1571,3500.0
8.0,2.0,9.1539,4300.0
9.0,2.0,7.5425,5100.0
10.0,2.0,6.9597,5900.0
11.0,2.0,6.009,6700.0
12.0,2.0,6.47,7500.0
13.0,2.0,4.7393,8300.0
14.0,6.0,4.7393,7800.0
15.0,6.0,4.7393,7300.0
16.0,1.0,6.1866,8200.0
17.0,2.0,5.2694,9000.0
18.0,6.0,5.2694,8500.0
19.0,1.0,6.4928,9400.0
20.0,2.0,5.389,10200.0
21.0,6.0,5.389,9700.0
22.0,6.0,5.389,9200.0
23.0,1.0,7.2167,10100.0
24.0,1.0,6.1847,11000.0
25.0,2.0,5.3602,11800.0
26.0,6.0,5.3602,11300.0
27.0,1.0,5.6398,12200.0
28.0,1.0,8.528,13100.0
29.0,1.0,5.8935,14000.0
30.0,1.0,6.1283,14900.0
31.0,2.0,4.743,15700.0
32.0,6.0,4.743,15200.0
33.0,6.0,4.743,14700.0
34.0,6.0,4.743,14200.0
35.0,6.0,4.743,13700.0
36.0,1.0,6.415,14600.0
37.0,1.0,4.9288,15500.0
38.0,5.0,4.9288,15000.0
39.0,0.0,5.144,16000.0
40.0,4.0,5.144,15500.0
41.0,4.0,5.144,15000.0
42.0,0.0,8.6319,16000.0
43.0,0.0,6.258,17000.0
44.0,1.0,5.4885,17900.0
45.0,5.0,5.4885,17400.0
46.0,5.0,5.4885,16900.0
47.0,5.0,5.4885,16400.0
48.0,0.0,6.9429,17400.0
49.0,0.0,7.369,18400.0
50.0,0.0,7.0588,19400.0
51.0,0.0,3.7991,20400.0
52.0,4.0,3.7991,19900.0
53.0,4.0,3.7991,19400.0
54.0,0.0,7.1484,20400.0
55.0,1.0,7.648,21300.0
56.0,1.0,6.8739,22200.0
57.0,1.0,5.6713,23100.0
58.0,1.0,5.7611,24000.0
59.0,2.0,4.653,24800.0
60.0,6.0,4.653,24300.0
61.0,1.0,5.7211,25200.0
62.0,1.0,5.0047,26100.0
63.0,5.0,5.0047,25600.0
64.0,5.0,5.0047,25100.0
65.0,5.0,5.0047,24600.0
66.0,5.0,5.0047,24100.0
67.0,0.0,5.6323,25100.0
68.0,1.0,5.5597,26000.0
69.0,1.0,5.1479,26900.0
70.0,5.0,5.1479,26400.0
71.0,0.0,4.1802,27400.0
72.0,4.0,4.1802,26900.0
73.0,0.0,6.4344,27900.0
74.0,0.0,6.2658,28900.0
75.0,1.0,6.1912,29800.0
76.0,2.0,4.5936,30600.0
77.0,6.0,4.5936,30100.0
78.0,1.0,5.4411,31000.0
79.0,5.0,5.4411,30500.0
80.0,0.0,9.4388,31500.0
81.0,0.0,7.5263,32500.0
82.0,1.0,4.3889,33400.0
83.0,5.0,4.3889,32900.0
84.0,5.0,4.3889,32400.0
85.0,5.0,4.3889,31900.0
86.0,0.0,7.8666,32900.0
87.0,0.0,7.4382,33900.0
88.0,0.0,6.7216,34900.0
89.0,1.0,5.8426,35800.0
90.0,1.0,5.4435,36700.0
91.0,5.0,5.4435,36200.0
92.0,5.0,5.4435,35700.0
93.0,5.0,5.4435,35200.0
94.0,5.0,5.4435,34700.0
95.0,5.0,5.4435,34200.0
96.0,5.0,5.4435,33700.0
97.0,5.0,5.4435,33200.0
98.0,0.0,6.1784,34200.0
99.0,1.0,5.9895,35100.0
100.0,1.0,0.7466,36000.0
101.0,5.0,0.7466,35500.0
102.0,0.0,6.6432,36500.0
103.0,0.0,3.6156,37500.0
104.0,4.0,3.6156,37000.0
105.0,0.0,6.6192,38000.0
106.0,1.0,5.7398,38900.0
107.0,2.0,4.6125,39700.0
108.0,6.0,4.6125,39200.0
109.0,6.0,4.6125,38700.0
110.0,1.0,6.5632,39600.0
111.0,1.0,7.3698,40500.0
112.0,1.0,5.6903,41400.0
113.0,2.0,5.4281,42200.0
114.0,6.0,5.4281,41700.0
115.0,6.0,5.4281,41200.0
116.0,1.0,5.7597,42100.0
117.0,2.0,2.073,42900.0
118.0,6.0,2.073,42400.0
119.0,6.0,2.073,41900.0
120.0,1.0,7.6554,42800.0
121.0,1.0,6.8959,43700.0
122.0,1.0,5.8361,44600.0
123.0,1.0,5.4401,45500.0
124.0,5.0,5.4401,45000.0
125.0,5.0,5.4401,44500.0
126.0,5.0,5.4401,44000.0
127.0,0.0,6.021,45000.0
128.0,1.0,5.9323,45900.0
129.0,1.0,1.5376,46800.0
130.0,5.0,1.5376,46300.0
131.0,5.0,1.5376,45800.0
132.0,5.0,1.5376,45300.0
133.0,0.0,6.1407,46300.0
134.0,1.0,6.5457,47200.0
135.0,2.0,4.9834,48000.0
136.0,6.0,4.9834,47500.0
137.0,1.0,5.1618,48400.0
138.0,5.0,5.1618,47900.0
139.0,0.0,9.7052,48900.0
140.0,0.0,5.4656,49900.0
141.0,4.0,5.4656,49400.0
142.0,0.0,9.1136,50400.0
143.0,1.0,7.5358,51300.0
144.0,1.0,6.1313,52200.0
145.0,1.0,5.7852,53100.0
146.0,1.0,4.5048,54000.0
147.0,5.0,4.5048,53500.0
148.0,5.0,4.5048,53000.0
149.0,0.0,7.6719,54000.0
150.0,1.0,6.56,54900.0
151.0,1.0,5.5825,55800.0
152.0,1.0,1.1892,56700.0
153.0,5.0,1.1892,56200.0
154.0,0.0,7.5063,57200.0
155.0,0.0,6.0361,58200.0
156.0,0.0,6.1009,59200.0
157.0,0.0,5.2705,60200.0
158.0,4.0,5.2705,59700.0
159.0,4.0,5.2705,59200.0
160.0,4.0,5.2705,58700.0
161.0,0.0,6.2286,59700.0
162.0,0.0,5.9963,60700.0
163.0,0.0,4.5912,61700.0
164.0,4.0,4.5912,61200.0
165.0,0.0,7.5302,62200.0
166.0,0.0,5.1978,63200.0
167.0,4.0,5.1978,62700.0
168.0,4.0,5.1978,62200.0
169.0,0.0,6.1974,63200.0
170.0,0.0,3.325,64200.0
171.0,4.0,3.325,63700.0
172.0,4.0,3.325,63200.0
173.0,4.0,3.325,62700.0
174.0,4.0,3.325,62200.0
175.0,0.0,7.2338,63200.0
176.0,0.0,5.6605,64200.0
177.0,0.0,5.1235,65200.0
178.0,4.0,5.1235,64700.0
179.0,0.0,6.7602,65700.0
180.0,0.0,5.7456,66700.0
181.0,1.0,4.6187,67600.0
182.0,5.0,4.6187,67100.0
183.0,0.0,6.5099,68100.0
184.0,1.0,6.1614,69000.0
185.0,1.0,5.1837,69900.0
186.0,5.0,5.1837,69400.0
187.0,5.0,5.1837,68900.0
188.0,5.0,5.1837,68400.0
189.0,0.0,7.9529,69400.0
190.0,1.0,6.0171,70300.0
191.0,1.0,6.1173,71200.0
192.0,1.0,5.8415,72100.0
193.0,2.0,5.4804,72900.0
194.0,6.0,5.4804,72400.0
195.0,6.0,5.4804,71900.0
196.0,1.0,3.4607,72800.0
197.0,5.0,3.4607,72300.0
198.0,5.0,3.4607,71800.0
199.0,0.0,6.5557,72800.0
200.0,0.0,6.7714,73800.0
201.0,1.0,6.1766,74700.0
202.0,1.0,5.7579,75600.0
203.0,1.0,4.8325,76500.0
204.0,5.0,4.8325,76000.0
205.0,5.0,4.8325,75500.0
206.0,0.0,5.0334,76500.0
207.0,4.0,5.0334,76000.0
208.0,4.0,5.0334,75500.0
209.0,0.0,7.9627,76500.0
210.0,1.0,5.3692,77400.0
211.0,5.0,5.3692,76900.0
212.0,5.0,5.3692,76400.0
213.0,0.0,8.3793,77400.0
214.0,0.0,8.0751,78400.0
215.0,1.0,5.7932,79300.0
216.0,1.0,6.4977,80200.0
217.0,2.0,5.2045,81000.0
218.0,6.0,5.2045,80500.0
219.0,1.0,7.1906,81400.0
220.0,1.0,5.4823,82300.0
221.0,5.0,5.4823,81800.0
222.0,0.0,7.4505,82800.0
223.0,0.0,6.2455,83800.0
224.0,1.0,6.493,84700.0
225.0,1.0,4.9374,85600.0
226.0,5.0,4.9374,85100.0
227.0,5.0,4.9374,84600.0
228.0,0.0,5.3532,85600.0
229.0,4.0,5.3532,85100.0
230.0,4.0,5.3532,84600.0
231.0,4.0,5.3532,84100.0
232.0,0.0,9.2345,85100.0
233.0,0.0,6.7341,86100.0
234.0,0.0,7.6585,87100.0
235.0,1.0,6.2273,88000.0
236.0,1.0,6.3462,88900.0
237.0,2.0,4.538,89700.0
238.0,6.0,4.538,89200.0
239.0,1.0,6.7268,90100.0
240.0,1.0,5.2092,91000.0
241.0,5.0,5.2092,90500.0
242.0,0.0,5.202,91500.0
243.0,4.0,5.202,91000.0
244.0,4.0,5.202,90500.0
245.0,4.0,5.202,90000.0
246.0,4.0,5.202,89500.0
247.0,4.0,5.202,89000.0
248.0,4.0,5.202,88500.0
249.0,0.0,8.5324,89500.0
250.0,0.0,5.9084,90500.0
251.0,1.0,7.3178,91400.0
252.0,1.0,5.5615,92300.0
253.0,2.0,4.952,93100.0
254.0,6.0,4.952,92600.0
255.0,1.0,5.9245,93500.0
256.0,1.0,6.3444,94400.0
257.0,2.0,5.6904,95200.0
258.0,9.0,5.6904,94200.0
259.0,9.0,5.6904,93200.0
260.0,9.0,5.6904,92200.0
261.0,9.0,5.6904,91200.0
262.0,9.0,5.6904,90200.0
263.0,9.0,5.6904,89200.0
264.0,9.0,5.6904,88200.0
265.0,9.0,5.6904,87200.0
266.0,0.0,10.6803,88200.0
267.0,0.0,9.8676,89200.0
268.0,0.0,8.429,90200.0
269.0,0.0,7.0158,91200.0
270.0,0.0,7.0561,92200.0
271.0,0.0,5.5913,93200.0
272.0,1.0,6.2438,94100.0
273.0,2.0,5.341,94900.0
274.0,6.0,5.341,94400.0
275.0,6.0,5.341,93900.0
276.0,6.0,5.341,93400.0
277.0,1.0,6.0282,94300.0
278.0,2.0,6.3981,95100.0
279.0,2.0,5.3121,95900.0
280.0,6.0,5.3121,95400.0
281.0,1.0,6.2361,96300.0
282.0,1.0,7.2279,97200.0
283.0,2.0,5.6927,98000.0
284.0,3.0,4.2537,98500.0
285.0,7.0,4.2537,98000.0
286.0,7.0,4.2537,97500.0
287.0,7.0,4.2537,97000.0
288.0,7.0,4.2537,96500.0
289.0,7.0,4.2537,96000.0
290.0,2.0,5.8455,96800.0
291.0,2.0,5.5851,97600.0
292.0,3.0,5.8163,98100.0
293.0,8.0,5.8163,95100.0
294.0,0.0,10.854,96100.0
295.0,1.0,9.5618,97000.0
296.0,2.0,8.3175,97800.0
297.0,2.0,7.8471,98600.0
298.0,3.0,6.7165,99100.0
299.0,3.0,2.5772,99600.0
300.0,7.0,2.5772,99100.0
301.0,7.0,2.5772,98600.0
302.0,2.0,8.162,99400.0
303.0,2.0,6.3049,100200.0
304.0,3.0,4.0251,100700.0
305.0,7.0,4.0251,100200.0
306.0,2.0,7.2938,101000.0
307.0,2.0,6.6631,101800.0
308.0,3.0,2.718,102300.0
309.0,7.0,2.718,101800.0
310.0,2.0,7.6332,102600.0
311.0,2.0,9.0856,103400.0
312.0,2.0,5.9094,104200.0
313.0,9.0,5.9094,103200.0
314.0,0.0,10.8335,104200.0
315.0,1.0,9.7107,105100.0
316.0,1.0,8.8242,106000.0
317.0,2.0,8.0884,106800.0
318.0,3.0,6.4587,107300.0
319.0,3.0,5.3355,107800.0
320.0,7.0,5.3355,107300.0
321.0,2.0,7.7226,108100.0
322.0,2.0,6.6526,108900.0
323.0,2.0,6.1451,109700.0
324.0,2.0,6.1579,110500.0
325.0,2.0,5.4059,111300.0
326.0,6.0,5.4059,110800.0
327.0,6.0,5.4059,110300.0
328.0,6.0,5.4059,109800.0
329.0,6.0,5.4059,109300.0
330.0,6.0,5.4059,108800.0
331.0,1.0,6.8675,109700.0
332.0,1.0,5.9374,110600.0
333.0,1.0,4.8693,111500.0
334.0,5.0,4.8693,111000.0
335.0,0.0,6.1864,112000.0
336.0,1.0,6.0155,112900.0
337.0,1.0,5.5074,113800.0
338.0,1.0,4.2353,114700.0
339.0,5.0,4.2353,114200.0
340.0,5.0,4.2353,113700.0
341.0,0.0,5.7813,114700.0
342.0,0.0,5.3358,115700.0
343.0,4.0,5.3358,115200.0
344.0,4.0,5.3358,114700.0
345.0,0.0,6.5519,115700.0
346.0,0.0,6.1397,116700.0
347.0,0.0,1.6163,117700.0
348.0,4.0,1.6163,117200.0
349.0,0.0,6.1414,118200.0
350.0,0.0,5.1209,119200.0
351.0,4.0,5.1209,118700.0
352.0,4.0,5.1209,118200.0
353.0,0.0,6.0001,119200.0
354.0,0.0,7.4017,120200.0
355.0,1.0,4.9486,121100.0
356.0,5.0,4.9486,120600.0
357.0,5.0,4.9486,120100.0
358.0,5.0,4.9486,119600.0
359.0,0.0,6.6581,120600.0
360.0,0.0,5.3324,121600.0
361.0,4.0,5.3324,121100.0
362.0,4.0,5.3324,120600.0
363.0,0.0,8.1842,121600.0
364.0,0.0,8.0626,122600.0
365.0,0.0,6.1177,123600.0
366.0,0.0,5.588,124600.0
367.0,1.0,5.3897,125500.0
368.0,5.0,5.3897,125000.0
369.0,5.0,5.3897,124500.0
370.0,5.0,5.3897,124000.0
371.0,0.0,7.0334,125000.0
372.0,1.0,5.441,125900.0
373.0,5.0,5.441,125400.0
374.0,5.0,5.441,124900.0
375.0,0.0,7.4405,125900.0
376.0,0.0,6.2113,126900.0
377.0,0.0,6.3815,127900.0
378.0,0.0,5.156,128900.0
379.0,4.0,5.156,128400.0
380.0,0.0,8.8325,129400.0
381.0,0.0,5.0366,130400.0
382.0,4.0,5.0366,129900.0
383.0,4.0,5.0366,129400.0
384.0,4.0,5.0366,128900.0
385.0,4.0,5.0366,128400.0
386.0,4.0,5.0366,127900.0
387.0,4.0,5.0366,127400.0
388.0,0.0,6.6037,128400.0
389.0,0.0,6.0289,129400.0
390.0,0.0,6.1637,130400.0
391.0,0.0,6.4948,131400.0
392.0,0.0,5.4436,132400.0
393.0,4.0,5.4436,131900.0
394.0,0.0,6.0762,132900.0
395.0,1.0,5.0938,133800.0
396.0,5.0,5.0938,133300.0
397.0,0.0,6.533,134300.0
398.0,0.0,6.3604,135300.0
399.0,1.0,5.9351,136200.0
400.0,2.0,1.4317,137000.0
401.0,6.0,1.4317,136500.0
402.0,6.0,1.4317,136000.0
403.0,1.0,5.5925,136900.0
404.0,2.0,5.3902,137700.0
405.0,6.0,5.3902,137200.0
406.0,1.0,6.799,138100.0
407.0,2.0,5.8802,138900.0
408.0,3.0,4.5023,139400.0
409.0,7.0,4.5023,138900.0
410.0,2.0,6.3804,139700.0
411.0,3.0,4.9974,140200.0
412.0,7.0,4.9974,139700.0
413.0,2.0,6.5066,140500.0
414.0,2.0,6.5299,141300.0
415.0,2.0,5.685,142100.0
416.0,3.0,5.6579,142600.0
417.0,8.0,5.6579,139600.0
418.0,8.0,5.6579,136600.0
419.0,8.0,5.6579,133600.0
420.0,8.0,5.6579,130600.0
421.0,8.0,5.6579,127600.0
422.0,0.0,10.7473,128600.0
423.0,1.0,9.82,129500.0
424.0,1.0,8.9347,130400.0
425.0,1.0,8.1717,131300.0
426.0,2.0,6.2168,132100.0
427.0,3.0,1.7392,132600.0
428.0,7.0,1.7392,132100.0
429.0,2.0,5.5943,132900.0
430.0,3.0,6.0462,133400.0
431.0,3.0,6.9773,133900.0
432.0,3.0,5.8806,134400.0
433.0,8.0,5.8806,131400.0
434.0,8.0,5.8806,128400.0
435.0,8.0,5.8806,125400.0
436.0,8.0,5.8806,122400.0
437.0,8.0,5.8806,119400.0
438.0,8.0,5.8806,116400.0
439.0,8.0,5.8806,113400.0
440.0,8.0,5.8806,110400.0
441.0,0.0,10.672,111400.0
442.0,0.0,9.7378,112400.0
443.0,0.0,9.0239,113400.0
444.0,0.0,7.6405,114400.0
445.0,0.0,7.0585,115400.0
446.0,0.0,8.158,116400.0
447.0,0.0,6.2997,117400.0
448.0,0.0,5.1063,118400.0
449.0,4.0,5.1063,117900.0
450.0,0.0,5.9736,118900.0
451.0,0.0,5.3496,119900.0
452.0,4.0,5.3496,119400.0
453.0,0.0,8.1879,120400.0
454.0,1.0,6.0385,121300.0
455.0,1.0,5.9557,122200.0
456.0,1.0,4.7825,123100.0
457.0,5.0,4.7825,122600.0
458.0,0.0,5.3398,123600.0
459.0,4.0,5.3398,123100.0
460.0,0.0,7.9071,124100.0
461.0,1.0,6.7273,125000.0
462.0,1.0,7.6747,125900.0
463.0,2.0,5.3423,126700.0
464.0,6.0,5.3423,126200.0
465.0,6.0,5.3423,125700.0
466.0,6.0,5.3423,125200.0
467.0,1.0,7.66,126100.0
468.0,1.0,6.6965,127000.0
469.0,1.0,6.0671,127900.0
470.0,1.0,5.953,128800.0
471.0,1.0,5.0529,129700.0
472.0,5.0,5.0529,129200.0
473.0,5.0,5.0529,128700.0
474.0,0.0,5.7401,129700.0
475.0,1.0,5.3493,130600.0
476.0,5.0,5.3493,130100.0
477.0,0.0,5.9018,131100.0
478.0,1.0,5.9209,132000.0
479.0,1.0,5.3764,132900.0
480.0,5.0,5.3764,132400.0
481.0,5.0,5.3764,131900.0
482.0,5.0,5.3764,131400.0
483.0,5.0,5.3764,130900.0
484.0,0.0,7.0317,131900.0
485.0,0.0,6.6931,132900.0
486.0,0.0,5.7492,133900.0
487.0,9.0,5.7492,132900.0
488.0,0.0,10.4029,133900.0
489.0,1.0,9.4042,134800.0
490.0,2.0,8.462,135600.0
491.0,2.0,7.3108,136400.0
492.0,2.0,5.4307,137200.0
493.0,6.0,5.4307,136700.0
494.0,6.0,5.4307,136200.0
495.0,6.0,5.4307,135700.0
496.0,6.0,5.4307,135200.0
497.0,1.0,8.8495,136100.0
498.0,1.0,8.7257,137000.0
499.0,1.0,7.3882,137900.0
500.0,1.0,6.0404,138800.0
501.0,2.0,6.0507,139600.0
502.0,3.0,0.2924,140100.0
503.0,7.0,0.2924,139600.0
504.0,2.0,6.6572,140400.0
505.0,2.0,5.5531,141200.0
506.0,2.0,5.3735,142000.0
507.0,6.0,5.3735,141500.0
508.0,1.0,6.7185,142400.0
509.0,1.0,5.6547,143300.0
510.0,1.0,5.1606,144200.0
511.0,5.0,5.1606,143700.0
512.0,0.0,7.4729,144700.0
513.0,0.0,5.8358,145700.0
514.0,0.0,4.9228,146700.0
515.0,4.0,4.9228,146200.0
516.0,4.0,4.9228,145700.0
517.0,4.0,4.9228,145200.0
518.0,4.0,4.9228,144700.0
519.0,0.0,5.7546,145700.0
520.0,1.0,6.0097,146600.0
521.0,1.0,5.4571,147500.0
522.0,5.0,5.4571,147000.0
523.0,5.0,5.4571,146500.0
524.0,0.0,6.6393,147500.0
525.0,0.0,5.4329,148500.0
526.0,4.0,5.4329,148000.0
527.0,4.0,5.4329,147500.0
528.0,4.0,5.4329,147000.0
529.0,0.0,8.6247,148000.0
530.0,1.0,7.1575,148900.0
531.0,1.0,6.173,149800.0
532.0,2.0,5.5956,150600.0
533.0,2.0,4.7004,151400.0
534.0,6.0,4.7004,150900.0
535.0,6.0,4.7004,150400.0
536.0,1.0,6.2487,151300.0
537.0,1.0,5.2737,152200.0
538.0,5.0,5.2737,151700.0
539.0,0.0,5.6147,152700.0
540.0,0.0,3.9255,153700.0
541.0,4.0,3.9255,153200.0
542.0,4.0,3.9255,152700.0
543.0,0.0,7.4846,153700.0
544.0,0.0,6.5074,154700.0
545.0,0.0,6.2226,155700.0
546.0,0.0,5.6064,156700.0
547.0,1.0,4.7398,157600.0
548.0,5.0,4.7398,157100.0
549.0,0.0,6.1331,158100.0
550.0,0.0,5.9084,159100.0
551.0,1.0,5.4573,160000.0
552.0,5.0,5.4573,159500.0
553.0,5.0,5.4573,159000.0
554.0,0.0,6.2079,160000.0
555.0,0.0,5.4918,161000.0
556.0,4.0,5.4918,160500.0
557.0,4.0,5.4918,160000.0
558.0,0.0,6.1675,161000.0
559.0,0.0,7.1971,162000.0
560.0,0.0,5.2008,163000.0
561.0,4.0,5.2008,162500.0
562.0,0.0,7.5244,163500.0
563.0,0.0,6.1796,164500.0
564.0,0.0,5.1601,165500.0
565.0,4.0,5.1601,165000.0
566.0,0.0,6.1031,166000.0
567.0,0.0,3.4661,167000.0
568.0,4.0,3.4661,166500.0
569.0,0.0,6.4871,167500.0
570.0,1.0,7.8071,168400.0
571.0,2.0,5.6587,169200.0
572.0,3.0,5.2322,169700.0
573.0,7.0,5.2322,169200.0
574.0,7.0,5.2322,168700.0
575.0,7.0,5.2322,168200.0
576.0,7.0,5.2322,167700.0
577.0,7.0,5.2322,167200.0
578.0,2.0,6.2436,168000.0
579.0,3.0,2.0017,168500.0
580.0,7.0,2.0017,168000.0
581.0,2.0,6.8428,168800.0
582.0,3.0,1.31,169300.0
583.0,7.0,1.31,168800.0
584.0,2.0,7.9657,169600.0
585.0,3.0,7.771,170100.0
586.0,3.0,5.3729,170600.0
587.0,7.0,5.3729,170100.0
588.0,7.0,5.3729,169600.0
589.0,7.0,5.3729,169100.0
590.0,2.0,7.45,169900.0
591.0,2.0,6.9895,170700.0
592.0,3.0,2.0571,171200.0
593.0,7.0,2.0571,170700.0
594.0,7.0,2.0571,170200.0
595.0,7.0,2.0571,169700.0
596.0,7.0,2.0571,169200.0
597.0,2.0,7.9874,170000.0
598.0,2.0,7.2744,170800.0
599.0,2.0,6.1318,171600.0
600.0,2.0,6.5765,172400.0
601.0,3.0,0.4037,172900.0
602.0,7.0,0.4037,172400.0
603.0,2.0,4.7408,173200.0
604.0,6.0,4.7408,172700.0
605.0,1.0,8.3592,173600.0
606.0,1.0,7.3073,174500.0
607.0,1.0,4.8804,175400.0
608.0,5.0,4.8804,174900.0
609.0,0.0,7.8542,175900.0
610.0,1.0,6.1819,176800.0
611.0,1.0,6.4282,177700.0
612.0,2.0,5.2448,178500.0
613.0,6.0,5.2448,178000.0
614.0,6.0,5.2448,177500.0
615.0,1.0,6.2038,178400.0
616.0,1.0,7.8586,179300.0
617.0,1.0,5.7822,180200.0
618.0,9.0,5.7822,179200.0
619.0,9.0,5.7822,178200.0
620.0,9.0,5.7822,177200.0
621.0,9.0,5.7822,176200.0
622.0,9.0,5.7822,175200.0
623.0,9.0,5.7822,174200.0
624.0,9.0,5.7822,173200.0
625.0,9.0,5.7822,172200.0
626.0,9.0,5.7822,171200.0
627.0,9.0,5.7822,170200.0
628.0,9.0,5.7822,169200.0
629.0,9.0,5.7822,168200.0
630.0,9.0,5.7822,167200.0
631.0,0.0,10.8496,168200.0
632.0,1.0,9.4331,169100.0
633.0,1.0,8.7822,170000.0
634.0,1.0,8.1341,170900.0
635.0,1.0,6.7891,171800.0
636.0,2.0,3.6376,172600.0
637.0,6.0,3.6376,172100.0
638.0,1.0,7.4503,173000.0
639.0,2.0,7.3137,173800.0
640.0,3.0,2.4568,174300.0
641.0,7.0,2.4568,173800.0
642.0,2.0,7.5819,174600.0
643.0,3.0,6.5932,175100.0
644.0,3.0,5.0927,175600.0
645.0,7.0,5.0927,175100.0
646.0,2.0,8.0497,175900.0
647.0,2.0,6.4633,176700.0
648.0,2.0,5.7872,177500.0
649.0,3.0,2.1333,178000.0
650.0,7.0,2.1333,177500.0
651.0,2.0,6.9579,178300.0
652.0,2.0,6.4931,179100.0
653.0,2.0,5.3584,179900.0
654.0,6.0,5.3584,179400.0
655.0,1.0,5.9198,180300.0
656.0,1.0,7.45,181200.0
657.0,1.0,6.3034,182100.0
658.0,1.0,0.6557,183000.0
659.0,5.0,0.6557,182500.0
660.0,0.0,6.3021,183500.0
661.0,1.0,6.1179,184400.0
662.0,1.0,5.9127,185300.0
663.0,2.0,4.9448,186100.0
664.0,6.0,4.9448,185600.0
